,Star_name,Distance,Mass,Radius
160,WISEPA J164715.59+563208.2,28.0,41,0.94
161,LSPM J1658+7027 [de],60.0,73,1.04
162,2MASSI J1726000+153819,114.0,24,1.4
164,SDSSp J175032.96+175903.9,90.0,47,0.97
165,2MASS J18283572-4849046,39.0,45,0.95
166,LSR J1835+3259,18.5,77,1.07
167,2MASSW J1841086+311727,138.0,67,1.01
168,2MASS J18432213+4040209,46.0,96,1.22
169,2MASS J20004841-7523070,105.0,25,1.88
170,SDSS J204749.61-071818.3,65.0,46,0.96
171,2MASSI J2057540-025230,47.0,70,1.02
173,2MASSI J2104149-103736,62.0,69,1.02
174,PSO J318.5−22,80.0,6.5,1.53
175,HB 2124-4228,113.0,94,1.21
176,2MASS J21392676+0220226,32.1,46,0.96
177,2MASS J21481628+4003593,26.3,55,0.99
179,2MASSW J2206450-421721,93.0,22,1.33
180,2MASSW J2208136+292121,154.0,27,1.41
181,2MASSW J2224438-015852,38.0,61,0.99
182,2MASS J22282889-4310262,35.0,42,0.94
183,2MASS J22373255+3922398,64.0,73,1.04
184,2MASSW J2244316+204343,56.0,12,1.29
185,2MASS J23224684-3133231,56.0,24,1.39
186,2MASS J23225299-6151275,148.0,17,1.59
187,2MASS J23515044-2537367,67.0,88,1.16
188,2MASSI J2356547-155310,74.0,80,1.09
226,WISE 0410+1502,20.0,6,1.17
230,WISE 0458+6434A,35.9,15,4.2
231,WISE 0458+6434B,35.9,10,3.8
285,WISE 1405+5534,25.3,30,0.86
